time_s,q_in_norm,cod_in_norm,load_disturbance_mgL,do_cascade,do_feedforward_cascade,air_sp_cascade,air_sp_feedforward_cascade,air_flow_cascade,air_flow_feedforward_cascade,blower_u_cascade,blower_u_feedforward_cascade,feedforward_air_base
20.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
21.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
21.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
22.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
22.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
23.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
23.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
24.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
24.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
25.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
25.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
26.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
26.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
27.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
27.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
28.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
28.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
29.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
29.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
30.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
30.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
31.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
31.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
32.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
32.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
33.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
33.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
34.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
34.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
