controller,min_do,max_abs_error,recovery_time_s,iae_after_dist,air_command_integral,air_command_energy
Cascade PID,1.782924,0.217076,448.500000,66.789818,857.317170,613.419032
Feedforward + Cascade PID,1.818390,0.181610,240.000000,36.475074,868.084895,628.317819
